package	upstream_url
a52dec	https://git.adelielinux.org/community/a52dec/
abseil-cpp	https://github.com/abseil/abseil-cpp
accessibility-inspector	https://github.com/KDE/accessibility-inspector
accountsservice	https://gitlab.freedesktop.org/accountsservice/accountsservice
acl	https://download.savannah.nongnu.org/releases/acl
acpi	https://sourceforge.net/projects/acpiclient/files/acpiclient
adwaita-fonts-ttf	https://download.gnome.org/sources/adwaita-fonts/
adwaita-icon-theme-legacy	https://gitlab.gnome.org/jimmac/adwaita-icon-theme-legacy
aha	https://github.com/theZiz/aha
akonadi	https://github.com/KDE/akonadi
akonadi-calendar	https://github.com/KDE/akonadi-calendar
akonadi-calendar-tools	https://github.com/KDE/akonadi-calendar-tools
akonadi-contacts	https://github.com/KDE/akonadi-contacts
akonadi-import-wizard	https://github.com/KDE/akonadi-import-wizard
akonadi-mime	https://github.com/KDE/akonadi-mime
akonadi-search	https://github.com/KDE/akonadi-search
akonadiconsole	https://github.com/KDE/akonadiconsole
akregator	https://github.com/KDE/akregator
alkimia	https://github.com/KDE/alkimia
alligator	https://github.com/KDE/alligator
alpine	https://alpineapp.email/alpine/info/maildir.html
alsa-lib	ftp://ftp.alsa-project.org/pub
alsa-utils	ftp://ftp.alsa-project.org/pub
amarok	https://github.com/KDE/amarok
AMF-headers	https://github.com/GPUOpen-LibrariesAndSDKs/AMF
analitza	https://github.com/KDE/analitza
anthy-unicode	https://github.com/fujiwarat/anthy-unicode
appstream	https://github.com/ximion/appstream
apr	http://www.apache.org/dist/apr
apr-util	http://www.apache.org/dist/apr
arianna	https://github.com/KDE/arianna
ark	https://github.com/KDE/ark
artikulate	https://github.com/KDE/artikulate
at	http://software.calhariz.com/at/
attica	https://github.com/KDE/attica
attica5	https://github.com/KDE/attica
attr	https://download.savannah.nongnu.org/releases/attr
audex	https://github.com/KDE/audex
audiocd-kio	https://github.com/KDE/audiocd-kio
aurorae	https://github.com/KDE/aurorae
autofs	http://www.kernel.org:/pub/linux/daemons/autofs
avahi	https://github.com/avahi/avahi
babl	https://download.gimp.org/pub/babl/
baloo	https://github.com/KDE/baloo
baloo-widgets	https://github.com/KDE/baloo-widgets
bcachefs-tools	https://evilpiepirate.org/bcachefs-tools/
bind	ftp://ftp.isc.org/isc/bind9/
blackbox	https://github.com/bbidulock/blackboxwm
blinken	https://github.com/KDE/blinken
bluedevil	https://github.com/KDE/bluedevil
bluez	http://www.kernel.org/pub/linux/bluetooth
bluez-qt	https://github.com/KDE/bluez-qt
bomber	https://github.com/KDE/bomber
bovo	https://github.com/KDE/bovo
breeze	https://github.com/KDE/breeze
breeze-grub	https://github.com/KDE/breeze-grub
breeze-gtk	https://github.com/KDE/breeze-gtk
breeze-icons	https://github.com/KDE/breeze-icons
bridge-utils	https://git.kernel.org/pub/scm/network/bridge/bridge-utils.git
brotli	https://github.com/google/brotli/
bstring	https://github.com/msteinert/bstring
btrfs-progs	https://www.kernel.org/pub/linux/kernel/people/kdave/btrfs-progs/
bzip2	ftp://sourceware.org/pub/bzip2/
cairo	https://cairographics.org/releases
calendarsupport	https://github.com/KDE/calendarsupport
calligra	https://github.com/KDE/calligra
calligraplan	https://github.com/KDE/calligraplan
cantor	https://github.com/KDE/cantor
cargo-c	https://github.com/lu-zero/cargo-c
ccache	https://github.com/doctest/doctest
ccid	https://ccid.apdu.fr/files
cdrdao	https://github.com/cdrdao/cdrdao/
cfitsio	https://heasarc.gsfc.nasa.gov/docs/software/fitsio/
check	https://github.com/libcheck/check
cifs-utils	https://www.samba.org/ftp/linux-cifs/cifs-utils
cmake	https://github.com/Kitware/CMake
cmark	https://github.com/commonmark/cmark
cmark-gfm	https://github.com/github/cmark-gfm
colord	https://www.freedesktop.org/software/colord/releases/
colord-kde	https://github.com/KDE/colord-kde
conntrack-tools	https://netfilter.org/projects/conntrack-tools/files
corrosion	https://github.com/corrosion-rs/corrosion
cracklib	https://github.com/cracklib/cracklib
cryfs	https://github.com/cryfs/cryfs
cryptopp	https://www.cryptopp.com/
cryptsetup	https://www.kernel.org/pub/linux/utils/cryptsetup
crystal-dock	https://github.com/dangvd/crystal-dock
cups	https://github.com/openprinting/cups
cups-browsed	https://github.com/OpenPrinting/cups-browsed
cups-filters	https://github.com/OpenPrinting/cups-filters
curl	https://curl.haxx.se/download
cvs	https://ftp.gnu.org/non-gnu/cvs
cxxopts	https://github.com/jarro2783/cxxopts
cyrus-sasl	https://github.com/cyrusimap/cyrus-sasl
Cython	http://pypi.python.org/pypi/Cython/
dav1d	http://downloads.videolan.org/pub/videolan/dav1d
dbus	http://dbus.freedesktop.org/releases/dbus/
dbus-glib	https://dbus.freedesktop.org/releases/dbus-glib
dbus-python	http://dbus.freedesktop.org/releases/dbus-python/
dconf	http://live.gnome.org/dconf
ddcutil	https://github.com/rockowitz/ddcutil
dehydrated	https://github.com/dehydrated-io/dehydrated
desktop-file-utils	http://www.freedesktop.org/software/desktop-file-utils/releases/
dhcp	ftp://ftp.isc.org:/isc/dhcp
dhcpcd	https://github.com/NetworkConfiguration/dhcpcd
dialog	https://invisible-island.net/archives/dialog/
diffstat	https://invisible-island.net/archives/diffstat/
digikam	https://github.com/KDE/digiKam
distcc	https://github.com/distcc/distcc
dkms	https://github.com/dell/dkms
dmidecode	http://download.savannah.gnu.org/releases/dmidecode/
dolphin	https://github.com/KDE/dolphin
dolphin-plugins	https://github.com/KDE/dolphin-plugins
dosfstools	https://github.com/dosfstools/dosfstools
dotconf	https://github.com/williamh/dotconf/
dovecot	https://dovecot.org/releases/
doxygen	http://www.doxygen.org/download.html
dracut	https://github.com/dracut-ng/dracut-ng
dragon	https://github.com/KDE/dragon
duktape	https://duktape.org
dvd+rw-tools	http://fy.chalmers.se/~appro/linux/DVD+RW/tools/
dvdauthor	https://github.com/ldo/dvdauthor
ebtables	ftp://ftp.netfilter.org/pub/ebtables
editorconfig-core-c	https://github.com/editorconfig/editorconfig-core-c
egl-wayland	https://github.com/NVIDIA/egl-wayland
eglexternalplatform	https://github.com/NVIDIA/eglexternalplatform
eigen	https://gitlab.com/libeigen/eigen
elementary-xfce	http://optipng.sourceforge.net/
elisa	https://github.com/KDE/elisa
elogind	https://github.com/elogind/elogind
emacspeak	https://github.com/tvraman/emacspeak
enchant	https://github.com/rrthomas/enchant
epic5	http://ftp.epicsol.org/pub/epic/
espeak-ng	https://github.com/espeak-ng/espeak-ng
ethtool	https://www.kernel.org/pub/software/network/ethtool/
eventviews	https://github.com/KDE/eventviews
exfatprogs	https://github.com/exfatprogs/exfatprogs
exiv2	https://github.com/Exiv2/exiv2
exo	http://archive.xfce.org/src/xfce/exo
expat	https://github.com/libexpat/libexpat
extra-cmake-modules	https://github.com/KDE/extra-cmake-modules
falkon	https://github.com/KDE/falkon
farstream	http://freedesktop.org/software/farstream/releases/farstream
fast_float	https://github.com/fastfloat/fast_float
fcitx5	https://download.fcitx-im.org/fcitx5/fcitx5/
fcitx5-anthy	https://download.fcitx-im.org/fcitx5/fcitx5-anthy/
fcitx5-chinese-addons	https://download.fcitx-im.org/fcitx5/fcitx5-chinese-addons/
fcitx5-configtool	https://download.fcitx-im.org/fcitx5/fcitx5-configtool/
fcitx5-gtk	https://download.fcitx-im.org/fcitx5/fcitx5-gtk/
fcitx5-hangul	https://download.fcitx-im.org/fcitx5/fcitx5-hangul/
fcitx5-kkc	https://download.fcitx-im.org/fcitx5/fcitx5-kkc/
fcitx5-m17n	https://download.fcitx-im.org/fcitx5/fcitx5-m17n/
fcitx5-qt	https://download.fcitx-im.org/fcitx5/fcitx5-qt/
fcitx5-sayura	https://download.fcitx-im.org/fcitx5/fcitx5-sayura/
fcitx5-table-extra	https://download.fcitx-im.org/fcitx5/fcitx5-table-extra/
fcitx5-table-other	https://download.fcitx-im.org/fcitx5/fcitx5-table-other/
fcitx5-theme-breeze	https://github.com/scratch-er/fcitx5-breeze
fcitx5-unikey	https://download.fcitx-im.org/fcitx5/fcitx5-unikey/
fetchmail	https://sourceforge.net/projects/fetchmail
ffmpegthumbnailer	https://github.com/dirkvdb/ffmpegthumbnailer
ffmpegthumbs	https://github.com/KDE/ffmpegthumbs
filelight	https://github.com/KDE/filelight
flac	http://downloads.xiph.org/releases/flac/
fluidsynth	https://www.github.com/FluidSynth/fluidsynth
fmt	https://github.com/fmtlib/fmt
font-adobe-source-code-pro-otf	https://github.com/adobe-fonts/source-code-pro
fontconfig	https://gitlab.freedesktop.org/fontconfig/fontconfig
fprintd	https://gitlab.freedesktop.org/libfprint/fprintd
frameworkintegration	https://github.com/KDE/frameworkintegration
frameworkintegration5	https://github.com/KDE/frameworkintegration
francis	https://github.com/KDE/francis
freecell-solver	https://fc-solve.shlomifish.org/download.html
freeglut	https://github.com/freeglut/freeglut
freerdp	https://pub.freerdp.com/releases/
freetype	https://sourceforge.net/projects/freetype/files/
frei0r-plugins	https://github.com/dyne/frei0r
fribidi	https://github.com/fribidi/fribidi
fuse3	https://github.com/libfuse/libfuse
futuresql	https://invent.kde.org/libraries/futuresql.git
garcon	http://archive.xfce.org/src/xfce/garcon
gc	https://github.com/ivmai/bdwgc/
gcompris-qt	https://github.com/gcompris/GCompris-qt
gd	https://github.com/libgd/libgd
geeqie	https://github.com/BestImageViewer/geeqie
gegl	https://download.gimp.org/pub/gegl/
getmail	https://github.com/getmail6/getmail6
gexiv2	https://gitlab.gnome.org/GNOME/gexiv2
gftp	https://github.com/masneyb/gftp
ghostscript	https://github.com/ArtifexSoftware/ghostpdl-downloads
ghostwriter	https://github.com/KDE/ghostwriter
gi-docgen	https://download.gnome.org/sources/gi-docgen/
giflib	https://sourceforge.net/projects/giflib/
git	https://www.kernel.org/pub/software/scm/git/
gjs	https://ftp.gnome.org/pub/GNOME/sources/gjs
gkrellm	http://gkrellm.srcbox.net/releases
glade	https://ftp.gnome.org/pub/GNOME/sources/glade
glew	http://glew.sourceforge.net
glibc	https://github.com/besser82/libxcrypt
glu	ftp://ftp.freedesktop.org/pub/mesa/glu/
gmime	https://github.com/jstedfast/gmime
gmm	http://getfem.org/gmm/index.html
gnu-efi	https://github.com/ncroxon/gnu-efi
gnuchess	https://github.com/fbergo/eboard
gnupg2	https://gnupg.org/ftp/gcrypt/gnupg
gnuplot	http://www.gnuplot.info
googletest	https://github.com/google/googletest
gpa	https://gnupg.org/ftp/gcrypt/gpa
gpgme	https://gnupg.org/ftp/gcrypt/gpgme
gpgmepp	https://www.gnupg.org/ftp/gcrypt/gpgmepp
granatier	https://github.com/KDE/granatier
grantlee	https://github.com/steveire/grantlee
grantlee-editor	https://github.com/KDE/grantlee-editor
grantleetheme	https://github.com/KDE/grantleetheme
graphene	https://github.com/ebassi/graphene
graphite2	http://graphite.sil.org/
graphviz	https://gitlab.com/graphviz/graphviz
Greybird	https://github.com/shimmerproject/Greybird
gspell	https://gitlab.gnome.org/GNOME/gspell
gst-plugins-bad-free	https://gstreamer.freedesktop.org/src/
gst-plugins-base	https://gstreamer.freedesktop.org/src/
gst-plugins-good	https://gstreamer.freedesktop.org/src/
gst-plugins-libav	https://gstreamer.freedesktop.org/src/
gstreamer	https://gstreamer.freedesktop.org/src/
gtk+2	https://gitlab.gnome.org/GNOME/gtk
gtk-layer-shell	https://github.com/wmww/gtk-layer-shell
gtk4	https://gitlab.gnome.org/GNOME/gtk
gucharmap	https://gitlab.gnome.org/GNOME/gucharmap
gwenview	https://github.com/KDE/gwenview
hack-fonts-ttf	https://github.com/source-foundry/Hack
harfbuzz	https://github.com/harfbuzz/harfbuzz
haruna	https://github.com/KDE/haruna
haveged	https://github.com/jirka-h/haveged
hexchat	https://github.com/hexchat/hexchat
hostname	http://deb.debian.org/debian/pool/main/h/hostname
hplip	https://sourceforge.net/projects/hplip/files/hplip/
htop	https://github.com/htop-dev/htop
httpd	http://www.apache.org/dist/httpd
hunspell	https://github.com/hunspell/hunspell
hyphen	https://github.com/hunspell/hyphen
ibus	https://github.com/ibus/ibus
ibus-libpinyin	https://github.com/libpinyin/ibus-libpinyin
icu4c	https://github.com/unicode-org/icu
imagemagick	https://github.com/ImageMagick/ImageMagick
Imath	https://github.com/AcademySoftwareFoundation/Imath
immer	https://github.com/arximboldi/immer
incidenceeditor	https://github.com/KDE/incidenceeditor
inih	https://github.com/benhoyt/inih
iniparser	https://github.com/ndevilla/iniparser
inotify-tools	http://github.com/rvoicilas/inotify-tools/
intel-gmmlib	https://github.com/intel/gmmlib
intel-media-driver	https://github.com/intel/media-driver
intel-microcode	https://github.com/intel/Intel-Linux-Processor-Microcode-Data-Files
intel-vaapi-driver	https://github.com/irql-notlessorequal/intel-vaapi-driver
inxi	https://codeberg.org/smxi/inxi
iproute2	https://www.kernel.org/pub/linux/utils/net/iproute2/
iptables	https://netfilter.org/projects/iptables/files
iptraf-ng	https://github.com/iptraf-ng/iptraf-ng
iputils	https://github.com/iputils/iputils
isl	https://libisl.sourceforge.io
iso-codes	https://salsa.debian.org/iso-codes-team/iso-codes
isoimagewriter	https://github.com/KDE/isoimagewriter
ispell	https://www.cs.hmc.edu/~geoff/ispell.html
itinerary	https://github.com/KDE/itinerary
iucode_tool	https://gitlab.com/iucode-tool/iucode-tool
iw	https://www.kernel.org/pub/software/network/iw
jansson	https://github.com/akheron/jansson
jasper	https://github.com/jasper-software/jasper
jemalloc	https://github.com/jemalloc/jemalloc
jove	https://github.com/jonmacs/jove
jq	https://github.com/jqlang/jq
json-c	https://github.com/json-c/json-c
juk	https://github.com/KDE/juk
k3b	https://github.com/KDE/k3b
kactivities-stats5	https://github.com/KDE/kactivities-stats
kactivities5	https://github.com/KDE/kactivities
kactivitymanagerd	https://github.com/KDE/kactivitymanagerd
kaddressbook	https://github.com/KDE/kaddressbook
kalarm	https://github.com/KDE/kalarm
kalgebra	https://github.com/KDE/kalgebra
kalk	https://github.com/KDE/kalk
kalm	https://github.com/KDE/kalm
kalzium	https://github.com/KDE/kalzium
kamera	https://github.com/KDE/kamera
kamoso	https://github.com/KDE/kamoso
kanagram	https://github.com/KDE/kanagram
kapidox	https://github.com/KDE/kapidox
kapman	https://github.com/KDE/kapman
kapptemplate	https://github.com/KDE/kapptemplate
karchive	https://github.com/KDE/karchive
karchive5	https://github.com/KDE/karchive
kasts	https://github.com/KDE/kasts
kate	https://github.com/KDE/kate
katomic	https://github.com/KDE/katomic
kauth	https://github.com/KDE/kauth
kauth5	https://github.com/KDE/kauth
kbackup	https://github.com/KDE/kbackup
kbd	https://www.kernel.org/pub/linux/utils/kbd/
kblackbox	https://github.com/KDE/kblackbox
kblocks	https://github.com/KDE/kblocks
kbookmarks	https://github.com/KDE/kbookmarks
kbookmarks5	https://github.com/KDE/kbookmarks
kbounce	https://github.com/KDE/kbounce
kbreakout	https://github.com/KDE/kbreakout
kbruch	https://github.com/KDE/kbruch
kcachegrind	https://github.com/KDE/kcachegrind
kcalc	https://github.com/KDE/kcalc
kcalendarcore	https://github.com/KDE/kcalendarcore
kcalendarcore5	https://github.com/KDE/kcalendarcore
kcalutils	https://github.com/KDE/kcalutils
kcharselect	https://github.com/KDE/kcharselect
kcmutils	https://github.com/KDE/kcmutils
kcmutils5	https://github.com/KDE/kcmutils
kcodecs	https://github.com/KDE/kcodecs
kcodecs5	https://github.com/KDE/kcodecs
kcolorchooser	https://github.com/KDE/kcolorchooser
kColorPicker	https://github.com/ksnip/kColorPicker
kcolorscheme	https://github.com/KDE/kcolorscheme
kcompletion	https://github.com/KDE/kcompletion
kcompletion5	https://github.com/KDE/kcompletion
kconfig	https://github.com/KDE/kconfig
kconfig5	https://github.com/KDE/kconfig
kconfigwidgets	https://github.com/KDE/kconfigwidgets
kconfigwidgets5	https://github.com/KDE/kconfigwidgets
kcontacts	https://github.com/KDE/kcontacts
kcontacts5	https://github.com/KDE/kcontacts
kcoreaddons	https://github.com/KDE/kcoreaddons
kcoreaddons5	https://github.com/KDE/kcoreaddons
kcrash	https://github.com/KDE/kcrash
kcrash5	https://github.com/KDE/kcrash
kcron	https://github.com/KDE/kcron
kdav	https://github.com/KDE/kdav
kdav5	https://github.com/KDE/kdav
kdbusaddons	https://github.com/KDE/kdbusaddons
kdbusaddons5	https://github.com/KDE/kdbusaddons
kde-cli-tools	https://github.com/KDE/kde-cli-tools
kde-dev-scripts	https://github.com/KDE/kde-dev-scripts
kde-dev-utils	https://github.com/KDE/kde-dev-utils
kde-gtk-config	https://github.com/KDE/kde-gtk-config
kde-inotify-survey	https://github.com/KDE/kde-inotify-survey
kdebugsettings	https://github.com/KDE/kdebugsettings
kdeclarative	https://github.com/KDE/kdeclarative
kdeclarative5	https://github.com/KDE/kdeclarative
kdeconnect-kde	https://github.com/KDE/kdeconnect-kde
kdecoration	https://github.com/KDE/kdecoration
kded	https://github.com/KDE/kded
kded5	https://github.com/KDE/kded
kdeedu-data	https://github.com/KDE/kdeedu-data
kdegraphics-mobipocket	https://github.com/KDE/kdegraphics-mobipocket
kdegraphics-thumbnailers	https://github.com/KDE/kdegraphics-thumbnailers
kdenetwork-filesharing	https://github.com/KDE/kdenetwork-filesharing
kdenlive	https://github.com/KDE/kdenlive
kdepim-addons	https://github.com/KDE/kdepim-addons
kdepim-runtime	https://github.com/KDE/kdepim-runtime
kdeplasma-addons	https://github.com/KDE/kdeplasma-addons
kdesdk-kio	https://github.com/KDE/kdesdk-kio
kdesdk-thumbnailers	https://github.com/KDE/kdesdk-thumbnailers
kdesu	https://github.com/KDE/kdesu
kdesu5	https://github.com/KDE/kdesu
kdev-php	https://github.com/KDE/kdev-php
kdev-python	https://github.com/KDE/kdev-python
kdevelop	https://github.com/KDE/kdevelop
kdevelop-pg-qt	https://github.com/KDE/kdevelop-pg-qt
kdf	https://github.com/KDE/kdf
kdiagram	https://github.com/KDE/kdiagram
kdiagram5	https://github.com/KDE/kdiagram
kdialog	https://github.com/KDE/kdialog
kdiamond	https://github.com/KDE/kdiamond
kdnssd	https://github.com/KDE/kdnssd
kdnssd5	https://github.com/KDE/kdnssd
kdoctools	https://github.com/KDE/kdoctools
kdoctools5	https://github.com/KDE/kdoctools
kdsingleapplication	https://github.com/KDAB/KDSingleApplication
kdsoap	https://github.com/KDAB/KDSoap
kdsoap-ws-discovery-client	https://github.com/KDE/kdsoap-ws-discovery-client
keditbookmarks	https://github.com/KDE/keditbookmarks
kemoticons5	https://github.com/KDE/kemoticons
keybinder3	https://github.com/engla/keybinder
keysmith	https://github.com/KDE/keysmith
keyutils	https://git.kernel.org/pub/scm/linux/kernel/git/dhowells/keyutils.git/
kfilemetadata	https://github.com/KDE/kfilemetadata
kfilemetadata5	https://github.com/KDE/kfilemetadata
kfind	https://github.com/KDE/kfind
kfourinline	https://github.com/KDE/kfourinline
kgamma	https://github.com/KDE/kgamma
kgeography	https://github.com/KDE/kgeography
kget	https://github.com/KDE/kget
kglobalaccel	https://github.com/KDE/kglobalaccel
kglobalaccel5	https://github.com/KDE/kglobalaccel
kglobalacceld	https://github.com/KDE/kglobalacceld
kgoldrunner	https://github.com/KDE/kgoldrunner
kgpg	https://github.com/KDE/kgpg
kgraphviewer	https://github.com/KDE/kgraphviewer
kguiaddons	https://github.com/KDE/kguiaddons
kguiaddons5	https://github.com/KDE/kguiaddons
khangman	https://github.com/KDE/khangman
khealthcertificate	https://github.com/KDE/khealthcertificate
khelpcenter	https://github.com/KDE/khelpcenter
kholidays	https://github.com/KDE/kholidays
kholidays5	https://github.com/KDE/kholidays
ki18n	https://github.com/KDE/ki18n
ki18n5	https://github.com/KDE/ki18n
